순번,학기,대학(원),학과(부),학년,이수구분,이수영역,학수번호,교과목명,교과목명(영문),담당교수,소속,강의실,시간표(교시),시간표(시간),교시유형,학점,시수,이론,실습,정원,수강,수강(남),수강(여),재수강,수업구분,수업유형,집중이수제,성적평가,원어강의,원어강의구분,원어강사료지급,캡스톤디자인,수강대상,수업방법,비고
42,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0006976001,한국어 표현의 기초(2),Basic of Korean Expression(2),최유정,국어국문학과,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:금(7-8A)(8B-9)], [15-120:금(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,12,12,1,11,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
43,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0006976002,한국어 표현의 기초(2),Basic of Korean Expression(2),김선영,국어국문학과,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:금(4-5A)(5B-6)], [15-115:금(12:00~13:15)(13:30~14:45)],75분,3,3,3,0,11,11,1,10,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
44,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0006977001,한국 언어문화 입문(2),An Introduction to Korean Language and Culture(2),정하라,국어국문학과,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:월(4-5A)(5B-6)], [15-115:월(12:00~13:15)(13:30~14:45)],75분,3,3,3,0,8,8,1,7,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
45,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0006977002,한국 언어문화 입문(2),An Introduction to Korean Language and Culture(2),정미진,국어국문학과,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:월(1-2A)(2B-3)], [15-115:월(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,8,8,0,8,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
46,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0009346001,스토리텔링의이해,Understanding of Storytelling,이채은,국어국문학과,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:금(7-8A)(8B-9)], [15-503:금(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,15,19,7,12,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
47,2026년 1학기,인문대학,국어국문학과,3,전공심화,전공심화,0010766001,한국어와정보기술,Korean Language and Information Technology,안소진,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119]," [15-119:수(4-5A),목(5B-6)]"," [15-119:수(12:00~13:15),목(13:30~14:45)]",75분,3,3,3,0,10,19,5,14,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
48,2026년 1학기,인문대학,국어국문학과,4,전공심화,전공심화,0004884001,문학비평연습,Seminar on Literary Criticism,정우신,국어국문학과,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:월(4-5A)(5B-6)], [15-119:월(12:00~13:15)(13:30~14:45)],75분,3,3,3,0,15,18,11,7,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
49,2026년 1학기,인문대학,국어국문학과,4,전공심화,전공심화,0006978001,한국어 이해의 심화(2),Advanced Course of Korean Comprehension(2),최주희,국어국문학과,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:목(7-8A)(8B-9)], [15-120:목(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,12,12,2,10,0,"교환학생,복수학위제대상",강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
50,2026년 1학기,인문대학,국어국문학과,4,전공심화,전공심화,0010767001,한국어와사회,Korean Language and Society,안희제,국어국문학과,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:화(7-8A)(8B-9)], [15-503:화(15:00~16:15)(16:30~17:45)],75분,3,3,3,0,10,15,7,8,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
51,2026년 1학기,인문대학,영어영문학과,전학년,전공심화,전공심화,0009062004,RISE,RISE,신나미,영어영문학과,,,,50분(표준),3,3,3,0,3,3,1,2,0,일반과목,RISE(시간표 없음),일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
52,2026년 1학기,인문대학,영어영문학과,전학년,전공심화,전공심화,0009062005,RISE,RISE,윤소연,영어영문학과,,,,50분(표준),3,3,3,0,3,2,1,1,0,일반과목,RISE(시간표 없음),일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
53,2026년 1학기,인문대학,영어영문학과,전학년,전공심화,전공심화,0009062006,RISE,RISE,전신화,영어영문학과,,,,50분(표준),3,3,3,0,2,2,0,2,0,일반과목,RISE(시간표 없음),일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
54,2026년 1학기,인문대학,영어영문학과,전학년,전공심화,전공심화,0009062007,RISE,RISE,정채관,영어영문학과,,,,50분(표준),3,3,3,0,3,3,2,1,0,일반과목,RISE(시간표 없음),집중A(1~8주),이수인정,N,비대상,미지급,아니오,,,
55,2026년 1학기,인문대학,영어영문학과,전학년,전공심화,전공심화,0009062008,RISE,RISE,김정태,영어영문학과,,,,50분(표준),3,3,3,0,3,3,1,2,0,일반과목,RISE(시간표 없음),일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
56,2026년 1학기,인문대학,영어영문학과,전학년,전공심화,전공심화,0009062048,RISE,RISE,이용화,영어영문학과,,,,50분(표준),3,3,3,0,2,2,0,2,0,일반과목,RISE(시간표 없음),일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
57,2026년 1학기,인문대학,영어영문학과,1,전공기초,전공기초,0007800068,자기설계세미나 I,Self - Design Seminar I,황승현,영어영문학과,제15호관 인문대학-116 강의실(대)-2[15-116], [15-116:수(5)], [15-116:수(13:00~13:50)],50분(표준),1,1,1,0,20,19,9,10,0,일반과목,자기설계세미나,일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
58,2026년 1학기,인문대학,영어영문학과,1,전공기초,전공기초,0007800069,자기설계세미나 I,Self - Design Seminar I,신나미,영어영문학과,제15호관 인문대학-317 교육통계실습실[15-317], [15-317:수(5)], [15-317:수(13:00~13:50)],50분(표준),1,1,1,0,20,19,10,9,0,일반과목,자기설계세미나,일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
59,2026년 1학기,인문대학,영어영문학과,1,전공기초,전공기초,0007800070,자기설계세미나 I,Self - Design Seminar I,전신화,영어영문학과,제15호관 인문대학-405 세미나실-4[15-405], [15-405:수(5)], [15-405:수(13:00~13:50)],50분(표준),1,1,1,0,21,21,9,12,1,일반과목,자기설계세미나,일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
60,2026년 1학기,인문대학,영어영문학과,1,전공핵심,전공핵심,AIB6093001,영어회화(1),ENGLISH CONVERSATION(1),알라나 커밍스,영어영문학과,제15호관 인문대학-403 전용어학실습실-3[15-403]," [15-403:월(3),수(1)]"," [15-403:월(11:00~11:50),수(09:00~09:50)]",50분(표준),1,2,0,2,18,18,8,10,1,일반과목,실험실습,일반(1~15주),상대평가,Y,원어강의(EN),미지급(외국인),아니오,,,
61,2026년 1학기,인문대학,영어영문학과,1,전공핵심,전공핵심,AIB6093002,영어회화(1),ENGLISH CONVERSATION(1),알라나 커밍스,영어영문학과,제15호관 인문대학-116 강의실(대)-2[15-116]," [15-116:화(1),금(1)]"," [15-116:화(09:00~09:50),금(09:00~09:50)]",50분(표준),1,2,0,2,17,17,9,8,1,일반과목,실험실습,일반(1~15주),상대평가,Y,원어강의(EN),미지급(외국인),아니오,,,
62,2026년 1학기,인문대학,영어영문학과,1,전공핵심,전공핵심,AIB6093003,영어회화(1),ENGLISH CONVERSATION(1),Anthony Wayne Thompson IV,영어영문학과,제15호관 인문대학-116 강의실(대)-2[15-116]," [15-116:월(3),수(6)]"," [15-116:월(11:00~11:50),수(14:00~14:50)]",50분(표준),1,2,0,2,20,19,8,11,1,일반과목,실험실습,일반(1~15주),상대평가,Y,원어강의(EN),미지급(외국인),아니오,,,
63,2026년 1학기,인문대학,영어영문학과,1,전공핵심,전공핵심,AIB6093004,영어회화(1),ENGLISH CONVERSATION(1),Anthony Wayne Thompson IV,영어영문학과,제15호관 인문대학-403 전용어학실습실-3[15-403]," [15-403:화(9),금(1)]"," [15-403:화(17:00~17:50),금(09:00~09:50)]",50분(표준),1,2,0,2,17,17,7,10,0,일반과목,실험실습,일반(1~15주),상대평가,Y,원어강의(EN),미지급(외국인),아니오,,,
64,2026년 1학기,인문대학,영어영문학과,1,전공심화,전공심화,0006969001,영문법의이해,Understanding of English Grammar,윤소연,영어영문학과,"제15호관 인문대학-118B 강의실[15-118B], 제15호관 인문대학-403 전용어학실습실-3[15-403]", [15-118B:화(7-8A)] [15-403:목(7-8A)], [15-118B:화(15:00~16:15)] [15-403:목(15:00~16:15)],75분,3,3,3,0,34,34,15,19,0,일반과목,강의(이론),일반(1~15주),절대평가,Y,원어강의(EN),(영어관련교과목),아니오,,,
65,2026년 1학기,인문대학,영어영문학과,1,전공심화,전공심화,0007859001,영문학의기초,Foundations of English Literature,신나미,영어영문학과,제15호관 인문대학-403 전용어학실습실-3[15-403]," [15-403:수(7-8A),금(7-8A)]"," [15-403:수(15:00~16:15),금(15:00~16:15)]",75분,3,3,3,0,25,24,13,11,0,일반과목,강의(이론),일반(1~15주),절대평가,Y,원어강의(EN),(영어관련교과목),아니오,,,
66,2026년 1학기,인문대학,영어영문학과,1,전공심화,전공심화,0007859002,영문학의기초,Foundations of English Literature,황연,영어영문학과,제15호관 인문대학-317 교육통계실습실[15-317]," [15-317:목(4-5A),금(4-5A)]"," [15-317:목(12:00~13:15),금(12:00~13:15)]",75분,3,3,3,0,28,28,12,16,4,일반과목,강의(이론),일반(1~15주),절대평가,Y,원어강의(EN),(영어관련교과목),아니오,,,
67,2026년 1학기,인문대학,영어영문학과,1,전공심화,전공심화,AIB6103001,실용영어(1),PRACTICAL ENGLISH(1),정채관,영어영문학과,"제15호관 인문대학-113 강의실(교육대학원)[15-113], 제15호관 인문대학-317 교육통계실습실[15-317]", [15-113:화(2B-3)] [15-317:금(2B-3)], [15-113:화(10:30~11:45)] [15-317:금(10:30~11:45)],75분,3,3,3,0,10,10,6,4,0,일반과목,e-Learning,일반(1~15주),절대평가,N,비대상,미지급,아니오,,온라인(동영상),[e-Learning]
